iter	Passed	Remaining
686	13614	6202
687	13633	6182
688	13652	6162
689	13674	6143
690	13694	6123
691	13714	6104
692	13732	6083
693	13754	6064
694	13773	6044
695	13794	6025
696	13816	6006
697	13838	5987
698	13857	5967
699	13878	5947
700	13898	5928
701	13919	5908
702	13939	5889
703	13960	5869
704	13981	5850
705	14002	5831
706	14023	5811
707	14044	5792
708	14061	5771
709	14080	5751
710	14100	5731
711	14115	5709
712	14135	5689
713	14155	5669
714	14172	5649
715	14194	5630
716	14214	5610
717	14233	5590
718	14251	5569
719	14269	5549
720	14287	5528
721	14304	5507
722	14326	5488
723	14346	5469
724	14366	5449
725	14385	5429
726	14405	5409
727	14424	5389
728	14445	5369
729	14464	5349
730	14485	5330
731	14504	5310
732	14524	5290
733	14544	5270
734	14566	5252
735	14588	5232
736	14609	5213
737	14628	5193
738	14646	5172
739	14669	5154
740	14690	5134
741	14711	5115
742	14730	5095
743	14751	5075
744	14773	5056
745	14791	5036
746	14810	5016
747	14830	4996
748	14851	4977
749	14871	4957
750	14891	4937
751	14910	4917
752	14929	4897
753	14949	4877
754	14970	4857
755	14987	4837
756	15005	4816
757	15027	4797
758	15048	4778
759	15067	4758
760	15089	4738
761	15106	4718
762	15127	4698
763	15149	4679
764	15170	4660
765	15187	4639
766	15207	4619
767	15229	4600
768	15250	4581
769	15271	4561
770	15291	4541
771	15312	4522
772	15335	4503
773	15354	4483
774	15374	4463
775	15395	4443
776	15413	4423
777	15432	4403
778	15453	4384
779	15474	4364
780	15495	4345
781	15513	4324
782	15535	4305
783	15554	4285
784	15575	4265
785	15595	4245
786	15615	4226
787	15634	4206
788	15657	4187
789	15678	4167
790	15699	4148
791	15720	4128
792	15738	4108
793	15759	4088
794	15779	4068
795	15797	4048
796	15816	4028
797	15836	4008
798	15857	3989
799	15878	3969
800	15898	3949
801	15920	3930
802	15941	3910
803	15964	3891
804	15981	3871
805	16001	3851
806	16021	3831
807	16040	3811
808	16060	3791
809	16081	3772
810	16099	3751
811	16120	3732
812	16140	3712
813	16157	3692
814	16176	3671
815	16194	3651
816	16212	3631
817	16232	3611
818	16251	3591
819	16272	3572
820	16291	3551
821	16311	3532
822	16329	3512
823	16348	3491
824	16366	3471
825	16386	3451
826	16406	3431
827	16423	3411
828	16443	3391
829	16460	3371
830	16481	3351
831	16499	3331
832	16519	3311
833	16537	3291
834	16556	3271
835	16574	3251
836	16593	3231
837	16614	3211
838	16633	3191
839	16653	3172
840	16671	3151
841	16695	3132
842	16712	3112
843	16732	3092
844	16753	3073
845	16772	3053
846	16793	3033
847	16813	3013
848	16832	2993
849	16852	2973
850	16870	2953
851	16891	2934
852	16912	2914
853	16932	2894
854	16953	2875
855	16972	2855
856	16991	2835
857	17010	2815
858	17029	2795
859	17050	2775
860	17069	2755
861	17088	2735
862	17109	2716
863	17127	2696
864	17145	2675
865	17164	2655
866	17182	2635
867	17200	2615
868	17222	2596
869	17242	2576
870	17264	2556
871	17283	2537
872	17303	2517
873	17325	2497
874	17344	2477
875	17364	2458
876	17386	2438
877	17405	2418
878	17424	2398
879	17442	2378
880	17463	2358
881	17482	2338
882	17501	2319
883	17520	2299
884	17542	2279
885	17562	2259
886	17583	2240
887	17603	2220
888	17624	2200
889	17643	2180
890	17665	2161
891	17685	2141
892	17701	2121
893	17722	2101
894	17743	2081
895	17763	2061
896	17787	2042
897	17806	2022
898	17826	2002
899	17849	1983
900	17870	1963
901	17889	1943
902	17910	1923
903	17930	1904
904	17950	1884
905	17969	1864
906	17987	1844
907	18007	1824
908	18026	1804
909	18046	1784
910	18067	1765
911	18083	1744
912	18103	1725
913	18126	1705
914	18146	1685
915	18167	1665
916	18188	1646
917	18206	1626
918	18226	1606
919	18248	1586
920	18268	1567
921	18286	1547
922	18306	1527
923	18325	1507
924	18349	1487
925	18368	1467
926	18390	1448
927	18410	1428
928	18429	1408
929	18450	1388
930	18469	1368
931	18490	1349
932	18510	1329
933	18526	1309
934	18546	1289
935	18566	1269
936	18588	1249
937	18607	1229
938	18628	1210
939	18647	1190
940	18665	1170
941	18685	1150
942	18704	1130
943	18724	1110
944	18745	1091
945	18764	1071
946	18784	1051
947	18803	1031
948	18823	1011
949	18842	991
950	18865	972
951	18884	952
952	18905	932
953	18926	912
954	18947	892
955	18970	873
956	18990	853
957	19010	833
958	19030	813
959	19050	793
960	19068	773
961	19086	753
962	19104	734
963	19123	714
964	19142	694
965	19160	674
966	19181	654
967	19201	634
968	19219	614
969	19240	595
970	19259	575
971	19280	555
972	19300	535
973	19323	515
974	19343	495
975	19364	476
976	19385	456
977	19404	436
978	19425	416
979	19447	396
980	19467	377
981	19487	357
982	19505	337
983	19525	317
984	19546	297
985	19567	277
986	19586	257
987	19607	238
988	19628	218
989	19646	198
990	19664	178
991	19684	158
992	19702	138
993	19721	119
994	19742	99
995	19760	79
996	19779	59
997	19800	39
998	19817	19
999	19837	0
